SUBJECT;LABEL;DICE;HDRFDST;;LABEL;METRIC;STATISTIC;VALUE
106016;Amygdala;0.532187449;8.602325267;;Amygdala;DICE;MEAN;0.549847168
106016;GreyMatter;0.724060293;2;;Amygdala;DICE;STD;0.024314176
106016;Hippocampus;0.484128646;12.4498996;;Amygdala;HDRFDST;MEAN;10.83545816
106016;Thalamus;0.728398766;13.92838828;;Amygdala;HDRFDST;STD;1.330349312
106016;WhiteMatter;0.81272948;2.236067977;;GreyMatter;DICE;MEAN;0.718039061
106016-PP;Amygdala;0.53712609;8.246211251;;GreyMatter;DICE;STD;0.008556288
106016-PP;GreyMatter;0.720351562;2.236067977;;GreyMatter;HDRFDST;MEAN;2.115769368
106016-PP;Hippocampus;0.497275455;10.09950494;;GreyMatter;HDRFDST;STD;0.161658018
106016-PP;Thalamus;0.738254164;9.695359715;;Hippocampus;DICE;MEAN;0.564483666
106016-PP;WhiteMatter;0.816606794;2;;Hippocampus;DICE;STD;0.051602017
108828;Amygdala;0.581783583;11.78982612;;Hippocampus;HDRFDST;MEAN;10.65619903
108828;GreyMatter;0.715869666;2;;Hippocampus;HDRFDST;STD;1.267290309
108828;Hippocampus;0.545981746;15.13274595;;Thalamus;DICE;MEAN;0.769443256
108828;Thalamus;0.764493103;12.88409873;;Thalamus;DICE;STD;0.022527647
108828;WhiteMatter;0.840961308;2.236067977;;Thalamus;HDRFDST;MEAN;8.685892021
108828-PP;Amygdala;0.588461875;11.5758369;;Thalamus;HDRFDST;STD;2.528785349
108828-PP;GreyMatter;0.712665144;2;;WhiteMatter;DICE;MEAN;0.832906747
108828-PP;Hippocampus;0.572024624;9.433981132;;WhiteMatter;DICE;STD;0.020544408
108828-PP;Thalamus;0.774119987;6.403124237;;WhiteMatter;HDRFDST;MEAN;2
108828-PP;WhiteMatter;0.844320304;2;;WhiteMatter;HDRFDST;STD;0
110411;Amygdala;0.564384566;11.04536102;;;;;
110411;GreyMatter;0.720120171;2.236067977;;;;;
110411;Hippocampus;0.53786631;14.45683229;;;;;
110411;Thalamus;0.762185456;14.59451952;;;;;
110411;WhiteMatter;0.845421631;2.236067977;;;;;
110411-PP;Amygdala;0.576598311;10.67707825;;;;;
110411-PP;GreyMatter;0.717325895;2;;;;;
110411-PP;Hippocampus;0.563665908;12.4498996;;;;;
110411-PP;Thalamus;0.768975863;6.480740698;;;;;
110411-PP;WhiteMatter;0.848240869;2;;;;;
