SUBJECT;LABEL;DICE;HDRFDST;;LABEL;METRIC;STATISTIC;VALUE
117122;Amygdala;0.494309892;13.60147051;;Amygdala;DICE;MEAN;0.589461908
117122;GreyMatter;0.723516134;2;;Amygdala;DICE;STD;0.050649083
117122;Hippocampus;0.570443949;13.92838828;;Amygdala;HDRFDST;MEAN;11.69980597
117122;Thalamus;0.776593247;14.35270009;;Amygdala;HDRFDST;STD;1.458515363
117122;WhiteMatter;0.817264715;3;;GreyMatter;DICE;MEAN;0.695793631
117122-PP;Amygdala;0.544122265;12.08304597;;GreyMatter;DICE;STD;0.007616049
117122-PP;GreyMatter;0.691155888;3;;GreyMatter;HDRFDST;MEAN;2.944019453
117122-PP;Hippocampus;0.637662726;6.164414003;;GreyMatter;HDRFDST;STD;0.190757151
117122-PP;Thalamus;0.795764211;4.123105626;;Hippocampus;DICE;MEAN;0.590960343
117122-PP;WhiteMatter;0.825259157;2.236067977;;Hippocampus;DICE;STD;0.032540575
118528;Amygdala;0.463200422;13.92838828;;Hippocampus;HDRFDST;MEAN;8.48752402
118528;GreyMatter;0.721883182;2.236067977;;Hippocampus;HDRFDST;STD;1.783235514
118528;Hippocampus;0.540459484;14.31782106;;Thalamus;DICE;MEAN;0.769530979
118528;Thalamus;0.727798705;15.13274595;;Thalamus;DICE;STD;0.031823054
118528;WhiteMatter;0.829136246;2.828427125;;Thalamus;HDRFDST;MEAN;6.424823412
118528-PP;Amygdala;0.500557621;13.92838828;;Thalamus;HDRFDST;STD;3.058983876
118528-PP;GreyMatter;0.689750422;3;;WhiteMatter;DICE;MEAN;0.831828992
118528-PP;Hippocampus;0.58515708;11.04536102;;WhiteMatter;DICE;STD;0.017334144
118528-PP;Thalamus;0.749216769;5;;WhiteMatter;HDRFDST;MEAN;2.118033989
118528-PP;WhiteMatter;0.834791562;2.236067977;;WhiteMatter;HDRFDST;STD;0.124418749
118730;Amygdala;0.570580297;11.66190379;;;;;
118730;GreyMatter;0.729920856;2;;;;;
118730;Hippocampus;0.502746836;11.40175425;;;;;
118730;Thalamus;0.723315836;15;;;;;
118730;WhiteMatter;0.815609073;2.236067977;;;;;
118730-PP;Amygdala;0.607655048;11.22497216;;;;;
118730-PP;GreyMatter;0.698596214;3;;;;;
118730-PP;Hippocampus;0.524784078;7.071067812;;;;;
118730-PP;Thalamus;0.737758674;11;;;;;
