SUBJECT;LABEL;DICE;HDRFDST;;LABEL;METRIC;STATISTIC;VALUE
100307;Amygdala;0.535654782;10.29563014;;Amygdala;DICE;MEAN;0.660783928
100307;GreyMatter;0.731687747;2.236067977;;Amygdala;DICE;STD;0.027943073
100307;Hippocampus;0.573890938;13.41640786;;Amygdala;HDRFDST;MEAN;6.170432933
100307;Thalamus;0.743110021;16.15549442;;Amygdala;HDRFDST;STD;2.217545545
100307;WhiteMatter;0.829537349;3;;GreyMatter;DICE;MEAN;0.703073035
100307-PP;Amygdala;0.674782977;8.062257748;;GreyMatter;DICE;STD;0.011629578
100307-PP;GreyMatter;0.713058513;4;;GreyMatter;HDRFDST;MEAN;3.659861326
100307-PP;Hippocampus;0.709667404;6.708203932;;GreyMatter;HDRFDST;STD;0.671164059
100307-PP;Thalamus;0.797720393;5.099019514;;Hippocampus;DICE;MEAN;0.666009804
100307-PP;WhiteMatter;0.8396953;2.828427125;;Hippocampus;DICE;STD;0.046802964
101107;Amygdala;0.484876687;11.5758369;;Hippocampus;HDRFDST;MEAN;5.976723865
101107;GreyMatter;0.729177424;3;;Hippocampus;HDRFDST;STD;1.908685367
101107;Hippocampus;0.562082348;13.92838828;;Thalamus;DICE;MEAN;0.801158695
101107;Thalamus;0.732719924;15.65247584;;Thalamus;DICE;STD;0.019417716
101107;WhiteMatter;0.841109364;2.236067977;;Thalamus;HDRFDST;MEAN;5.819069756
101107-PP;Amygdala;0.631072824;8.544003745;;Thalamus;HDRFDST;STD;1.577067311
101107-PP;GreyMatter;0.711235209;3.31662479;;WhiteMatter;DICE;MEAN;0.842029726
101107-PP;Hippocampus;0.690058902;8.124038405;;WhiteMatter;DICE;STD;0.012171557
101107-PP;Thalamus;0.788086905;7.615773106;;WhiteMatter;HDRFDST;MEAN;2.316646069
101107-PP;WhiteMatter;0.851926601;2.236067977;;WhiteMatter;HDRFDST;STD;0.191922994
101915;Amygdala;0.577011494;11.70469991;;;;;
101915;GreyMatter;0.736467055;2;;;;;
101915;Hippocampus;0.532615273;13;;;;;
101915;Thalamus;0.742758053;15.65247584;;;;;
101915;WhiteMatter;0.822641349;2.449489743;;;;;
101915-PP;Amygdala;0.695032397;3.605551275;;;;;
101915-PP;GreyMatter;0.714632978;3.31662479;;;;;
101915-PP;Hippocampus;0.664093249;5;;;;;
101915-PP;Thalamus;0.788753945;9.055385138;;;;;
101915-PP;WhiteMatter;0.836296099;2.449489743;;;;;
103414;Amygdala;0.51324298;11.70469991;;;;;
103414;GreyMatter;0.725279237;2.449489743;;;;;
103414;Hippocampus;0.538207235;13.49073756;;;;;
103414;Thalamus;0.779002468;14.96662955;;;;;
103414;WhiteMatter;0.832012645;3;;;;;
103414-PP;Amygdala;0.642446996;9;;;;;
103414-PP;GreyMatter;0.709236963;3;;;;;
103414-PP;Hippocampus;0.681938115;4.242640687;;;;;
103414-PP;Thalamus;0.831851124;4.242640687;;;;;
103414-PP;WhiteMatter;0.846685167;2.236067977;;;;;
105014;Amygdala;0.552313635;9.695359715;;;;;
105014;GreyMatter;0.718097654;2.236067977;;;;;
