SUBJECT;LABEL;DICE;HDRFDST;;;;LABEL;METRIC;STATISTIC;VALUE
117122;Amygdala;0.494309892;13.60147051;;;;Amygdala;DICE;MEAN;0.696044084
117122;GreyMatter;0.723516134;2;;;;Amygdala;DICE;STD;0.044480026
117122;Hippocampus;0.570443949;13.92838828;;;;Amygdala;HDRFDST;MEAN;7.7537969
117122;Thalamus;0.776593247;14.35270009;;;;Amygdala;HDRFDST;STD;2.467259755
117122;WhiteMatter;0.817264715;3;;;;GreyMatter;DICE;MEAN;0.516947886
117122-PP;Amygdala;0.661716172;9.486832981;;;;GreyMatter;DICE;STD;0.01760481
117122-PP;GreyMatter;0.507708528;11.04536102;;;;GreyMatter;HDRFDST;MEAN;10.53530909
117122-PP;Hippocampus;0.722227612;4.123105626;;;;GreyMatter;HDRFDST;STD;0.886480141
117122-PP;Thalamus;0.824540651;3.741657387;;;;Hippocampus;DICE;MEAN;0.71203328
117122-PP;WhiteMatter;0.791079308;2;;;;Hippocampus;DICE;STD;0.012436594
118528;Amygdala;0.463200422;13.92838828;;;;Hippocampus;HDRFDST;MEAN;4.965455597
118528;GreyMatter;0.721883182;2.236067977;;;;Hippocampus;HDRFDST;STD;0.618466483
118528;Hippocampus;0.540459484;14.31782106;;;;Thalamus;DICE;MEAN;0.806153479
118528;Thalamus;0.727798705;15.13274595;;;;Thalamus;DICE;STD;0.031746731
118528;WhiteMatter;0.829136246;2.828427125;;;;Thalamus;HDRFDST;MEAN;4.420960945
118528-PP;Amygdala;0.617996604;9.486832981;;;;Thalamus;HDRFDST;STD;0.853166859
118528-PP;GreyMatter;0.524974136;12.04159458;;;;WhiteMatter;DICE;MEAN;0.800695627
118528-PP;Hippocampus;0.714387197;5.099019514;;;;WhiteMatter;DICE;STD;0.011405967
118528-PP;Thalamus;0.785554338;4.582575695;;;;WhiteMatter;HDRFDST;MEAN;2.023606798
118528-PP;WhiteMatter;0.800482407;2;;;;WhiteMatter;HDRFDST;STD;0.074651249
118730;Amygdala;0.570580297;11.66190379;;;;;;;
118730;GreyMatter;0.729920856;2;;;;;;;
118730;Hippocampus;0.502746836;11.40175425;;;;;;;
118730;Thalamus;0.723315836;15;;;;;;;
118730;WhiteMatter;0.815609073;2.236067977;;;;;;;
118730-PP;Amygdala;0.717725348;6.480740698;;;;;;;
118730-PP;GreyMatter;0.53184863;10.34408043;;;;;;;
118730-PP;Hippocampus;0.684687096;5;;;;;;;
118730-PP;Thalamus;0.784719831;5.099019514;;;;;;;
118730-PP;WhiteMatter;0.791290644;2;;;;;;;
118932;Amygdala;0.551737054;12.72792206;;;;;;;
118932;GreyMatter;0.733988484;2;;;;;;;
118932;Hippocampus;0.520447217;13.37908816;;;;;;;
118932;Thalamus;0.743086456;14.86606875;;;;;;;
118932;WhiteMatter;0.834858504;2.236067977;;;;;;;
118932-PP;Amygdala;0.718836748;10.04987562;;;;;;;
118932-PP;GreyMatter;0.530735988;9.695359715;;;;;;;
118932-PP;Hippocampus;0.700767027;5.099019514;;;;;;;
118932-PP;Thalamus;0.79181703;4.898979486;;;;;;;
118932-PP;WhiteMatter;0.794541777;2;;;;;;;
120111;Amygdala;0.520559631;9.486832981;;;;;;;
120111;GreyMatter;0.71837067;2;;;;;;;
120111;Hippocampus;0.518368089;11.91637529;;;;;;;
120111;Thalamus;0.695999348;15.93737745;;;;;;;
120111;WhiteMatter;0.848923496;2.236067977;;;;;;;
120111-PP;Amygdala;0.64010989;6.164414003;;;;;;;
120111-PP;GreyMatter;0.509296725;11.44552314;;;;;;;
120111-PP;Hippocampus;0.708285832;4.472135955;;;;;;;
120111-PP;Thalamus;0.761774839;5.916079783;;;;;;;
120111-PP;WhiteMatter;0.814224833;2;;;;;;;
122317;Amygdala;0.595815085;13.34166406;;;;;;;
122317;GreyMatter;0.735852442;2;;;;;;;
122317;Hippocampus;0.546582499;13.07669683;;;;;;;
122317;Thalamus;0.763974109;14.03566885;;;;;;;
122317;WhiteMatter;0.835499329;2.828427125;;;;;;;
122317-PP;Amygdala;0.737903741;3.605551275;;;;;;;
122317-PP;GreyMatter;0.506870494;10.39230485;;;;;;;
122317-PP;Hippocampus;0.723639917;5;;;;;;;
122317-PP;Thalamus;0.84129902;3.605551275;;;;;;;
122317-PP;WhiteMatter;0.81074813;2;;;;;;;
122620;Amygdala;0.60180213;13.15294644;;;;;;;
122620;GreyMatter;0.738159417;2.236067977;;;;;;;
122620;Hippocampus;0.556609347;14.2126704;;;;;;;
122620;Thalamus;0.762203963;12.52996409;;;;;;;
122620;WhiteMatter;0.807591583;2.828427125;;;;;;;
122620-PP;Amygdala;0.694304254;4.582575695;;;;;;;
122620-PP;GreyMatter;0.535855289;11.35781669;;;;;;;
122620-PP;Hippocampus;0.724024363;4.582575695;;;;;;;
122620-PP;Thalamus;0.810996564;4.123105626;;;;;;;
122620-PP;WhiteMatter;0.795471477;2;;;;;;;
123117;Amygdala;0.536634022;13.07669683;;;;;;;
123117;GreyMatter;0.722317768;2.449489743;;;;;;;
123117;Hippocampus;0.530757193;13;;;;;;;
123117;Thalamus;0.709572653;16.79285562;;;;;;;
123117;WhiteMatter;0.846568627;3;;;;;;;
123117-PP;Amygdala;0.703141361;11;;;;;;;
123117-PP;GreyMatter;0.531267017;9.486832981;;;;;;;
123117-PP;Hippocampus;0.719996307;6.480740698;;;;;;;
123117-PP;Thalamus;0.771663983;5;;;;;;;
123117-PP;WhiteMatter;0.811057451;2.236067977;;;;;;;
123925;Amygdala;0.552883276;11.5758369;;;;;;;
123925;GreyMatter;0.71697843;2;;;;;;;
123925;Hippocampus;0.536034819;13.41640786;;;;;;;
123925;Thalamus;0.774969763;14.24780685;;;;;;;
123925;WhiteMatter;0.832664385;3;;;;;;;
123925-PP;Amygdala;0.705393112;9;;;;;;;
123925-PP;GreyMatter;0.512511571;9.848857802;;;;;;;
123925-PP;Hippocampus;0.716175165;4.898979486;;;;;;;
123925-PP;Thalamus;0.832925758;4.242640687;;;;;;;
123925-PP;WhiteMatter;0.815273934;2;;;;;;;
124422;Amygdala;0.63960396;11.5758369;;;;;;;
124422;GreyMatter;0.713842165;2;;;;;;;
124422;Hippocampus;0.567238913;11.87434209;;;;;;;
124422;Thalamus;0.795910306;14.56021978;;;;;;;
124422;WhiteMatter;0.781634468;3;;;;;;;
124422-PP;Amygdala;0.763313609;7.681145748;;;;;;;
124422-PP;GreyMatter;0.478410484;9.695359715;;;;;;;
124422-PP;Hippocampus;0.706142289;4.898979486;;;;;;;
124422-PP;Thalamus;0.856242781;3;;;;;;;
124422-PP;WhiteMatter;0.782786308;2;;;;;;;
