SUBJECT;LABEL;DICE;HDRFDST;;LABEL;METRIC;STATISTIC;VALUE
117122;Amygdala;0.494309892;13.60147051;;Amygdala;DICE;MEAN;0.636290958
117122;GreyMatter;0.723516134;2;;Amygdala;DICE;STD;0.046116914
117122;Hippocampus;0.570443949;13.92838828;;Amygdala;HDRFDST;MEAN;10.06423982
117122;Thalamus;0.776593247;14.35270009;;Amygdala;HDRFDST;STD;1.337940734
117122;WhiteMatter;0.817264715;3;;GreyMatter;DICE;MEAN;0.698787321
117122-PP;Amygdala;0.585881551;11;;GreyMatter;DICE;STD;0.007286424
117122-PP;GreyMatter;0.696946294;3.31662479;;GreyMatter;HDRFDST;MEAN;3.474828718
117122-PP;Hippocampus;0.674661478;3.741657387;;GreyMatter;HDRFDST;STD;0.373519866
117122-PP;Thalamus;0.815361818;3.31662479;;Hippocampus;DICE;MEAN;0.632610228
117122-PP;WhiteMatter;0.828627994;2.449489743;;Hippocampus;DICE;STD;0.033876456
118528;Amygdala;0.463200422;13.92838828;;Hippocampus;HDRFDST;MEAN;4.771356638
118528;GreyMatter;0.721883182;2.236067977;;Hippocampus;HDRFDST;STD;0.60933099
118528;Hippocampus;0.540459484;14.31782106;;Thalamus;DICE;MEAN;0.788250093
118528;Thalamus;0.727798705;15.13274595;;Thalamus;DICE;STD;0.033114434
118528;WhiteMatter;0.829136246;2.828427125;;Thalamus;HDRFDST;MEAN;4.735810053
118528-PP;Amygdala;0.565757351;11.70469991;;Thalamus;HDRFDST;STD;1.091432871
118528-PP;GreyMatter;0.692322677;3.605551275;;WhiteMatter;DICE;MEAN;0.834132368
118528-PP;Hippocampus;0.620908678;5.385164807;;WhiteMatter;DICE;STD;0.014982994
118528-PP;Thalamus;0.764393791;4.582575695;;WhiteMatter;HDRFDST;MEAN;2.701867447
118528-PP;WhiteMatter;0.837463982;2.828427125;;WhiteMatter;HDRFDST;STD;0.333187128
118730;Amygdala;0.570580297;11.66190379;;;;;
118730;GreyMatter;0.729920856;2;;;;;
118730;Hippocampus;0.502746836;11.40175425;;;;;
118730;Thalamus;0.723315836;15;;;;;
118730;WhiteMatter;0.815609073;2.236067977;;;;;
118730-PP;Amygdala;0.646695679;9.273618495;;;;;
118730-PP;GreyMatter;0.696729125;3.741657387;;;;;
118730-PP;Hippocampus;0.561357615;5.830951895;;;;;
118730-PP;Thalamus;0.760638907;6.708203932;;;;;
118730-PP;WhiteMatter;0.824165693;3;;;;;
118932;Amygdala;0.551737054;12.72792206;;;;;
118932;GreyMatter;0.733988484;2;;;;;
118932;Hippocampus;0.520447217;13.37908816;;;;;
118932;Thalamus;0.743086456;14.86606875;;;;;
118932;WhiteMatter;0.834858504;2.236067977;;;;;
118932-PP;Amygdala;0.643320363;10.81665383;;;;;
118932-PP;GreyMatter;0.704457629;4;;;;;
118932-PP;Hippocampus;0.620411107;4.472135955;;;;;
118932-PP;Thalamus;0.782846359;4.242640687;;;;;
118932-PP;WhiteMatter;0.839278217;3.16227766;;;;;
120111;Amygdala;0.520559631;9.486832981;;;;;
120111;GreyMatter;0.71837067;2;;;;;
120111;Hippocampus;0.518368089;11.91637529;;;;;
120111;Thalamus;0.695999348;15.93737745;;;;;
120111;WhiteMatter;0.848923496;2.236067977;;;;;
120111-PP;Amygdala;0.598147245;7.681145748;;;;;
120111-PP;GreyMatter;0.690636708;3.31662479;;;;;
120111-PP;Hippocampus;0.608008542;4.898979486;;;;;
120111-PP;Thalamus;0.743102179;6.480740698;;;;;
120111-PP;WhiteMatter;0.851624036;2.828427125;;;;;
122317;Amygdala;0.595815085;13.34166406;;;;;
122317;GreyMatter;0.735852442;2;;;;;
122317;Hippocampus;0.546582499;13.07669683;;;;;
122317;Thalamus;0.763974109;14.03566885;;;;;
122317;WhiteMatter;0.835499329;2.828427125;;;;;
122317-PP;Amygdala;0.674547061;9.219544457;;;;;
122317-PP;GreyMatter;0.707959441;3;;;;;
122317-PP;Hippocampus;0.66298633;5;;;;;
122317-PP;Thalamus;0.811253798;5;;;;;
122317-PP;WhiteMatter;0.842713263;2.828427125;;;;;
122620;Amygdala;0.60180213;13.15294644;;;;;
122620;GreyMatter;0.738159417;2.236067977;;;;;
