SUBJECT;LABEL;DICE;HDRFDST;;LABEL;METRIC;STATISTIC;VALUE
100307;Amygdala;0.563586621;10.09950494;;Amygdala;DICE;MEAN;0.643617763
100307;GreyMatter;0.734375847;2.236067977;;Amygdala;DICE;STD;0.051582726
100307;Hippocampus;0.588103899;13.41640786;;Amygdala;HDRFDST;MEAN;8.017383797
100307;Thalamus;0.743554237;15.5241747;;Amygdala;HDRFDST;STD;2.314581086
100307;WhiteMatter;0.830759288;3;;GreyMatter;DICE;MEAN;0.703134378
100307-PP;Amygdala;0.679966044;8.774964387;;GreyMatter;DICE;STD;0.012914839
100307-PP;GreyMatter;0.711686518;4;;GreyMatter;HDRFDST;MEAN;3.692594875
100307-PP;Hippocampus;0.725102455;5.385164807;;GreyMatter;HDRFDST;STD;0.718596694
100307-PP;Thalamus;0.798071469;4.242640687;;Hippocampus;DICE;MEAN;0.667996528
100307-PP;WhiteMatter;0.841399371;2.828427125;;Hippocampus;DICE;STD;0.07467783
100408;Amygdala;0.503705167;10;;Hippocampus;HDRFDST;MEAN;5.390712632
100408;GreyMatter;0.731944103;2;;Hippocampus;HDRFDST;STD;2.144817351
100408;Hippocampus;0.382537758;13.60147051;;Thalamus;DICE;MEAN;0.801920681
100408;Thalamus;0.721403935;14.86606875;;Thalamus;DICE;STD;0.023674079
100408;WhiteMatter;0.828596391;2.449489743;;Thalamus;HDRFDST;MEAN;4.113817747
100408-PP;Amygdala;0.539693757;6.782329983;;Thalamus;HDRFDST;STD;0.866989391
100408-PP;GreyMatter;0.69669029;5.385164807;;WhiteMatter;DICE;MEAN;0.846527496
100408-PP;Hippocampus;0.471846314;11.18033989;;WhiteMatter;DICE;STD;0.008073453
100408-PP;Thalamus;0.764734535;6.164414003;;WhiteMatter;HDRFDST;MEAN;2.352275186
100408-PP;WhiteMatter;0.844155536;2.236067977;;WhiteMatter;HDRFDST;STD;0.272440515
101107;Amygdala;0.519094289;11.3137085;;;;;
101107;GreyMatter;0.731283827;3;;;;;
