SUBJECT;LABEL;DICE;HDRFDST;;LABEL;METRIC;STATISTIC;VALUE
100307;Amygdala;0.54749081;10.81665383;;Amygdala;DICE;MEAN;0.608288439
100307;GreyMatter;0.72261464;3;;Amygdala;DICE;STD;0.033110633
100307;Hippocampus;0.583236622;13.60147051;;Amygdala;HDRFDST;MEAN;9.929662583
100307;Thalamus;0.731132283;17.91647287;;Amygdala;HDRFDST;STD;1.334083534
100307;WhiteMatter;0.827644066;3;;GreyMatter;DICE;MEAN;0.693912503
100307-PP;Amygdala;0.630250444;9.899494937;;GreyMatter;DICE;STD;0.012473314
100307-PP;GreyMatter;0.703453084;3.741657387;;GreyMatter;HDRFDST;MEAN;3.857026505
100307-PP;Hippocampus;0.712735397;8.485281374;;GreyMatter;HDRFDST;STD;0.599394636
100307-PP;Thalamus;0.799203903;4.242640687;;Hippocampus;DICE;MEAN;0.665656605
100307-PP;WhiteMatter;0.837832472;3;;Hippocampus;DICE;STD;0.072701254
100408;Amygdala;0.476011642;10.67707825;;Hippocampus;HDRFDST;MEAN;6.63021993
100408;GreyMatter;0.716673687;3;;Hippocampus;HDRFDST;STD;2.503371876
100408;Hippocampus;0.374027348;13.6381817;;Thalamus;DICE;MEAN;0.809301904
100408;Thalamus;0.693926919;15.26433752;;Thalamus;DICE;STD;0.019136494
100408;WhiteMatter;0.82985423;2.236067977;;Thalamus;HDRFDST;MEAN;4.171554109
100408-PP;Amygdala;0.555259654;8.306623863;;Thalamus;HDRFDST;STD;0.575554146
100408-PP;GreyMatter;0.684699644;5.196152423;;WhiteMatter;DICE;MEAN;0.844430518
100408-PP;Hippocampus;0.469461194;11.40175425;;WhiteMatter;DICE;STD;0.007306892
100408-PP;Thalamus;0.77908584;5.477225575;;WhiteMatter;HDRFDST;MEAN;2.452880912
100408-PP;WhiteMatter;0.847228858;2.236067977;;WhiteMatter;HDRFDST;STD;0.304366799
101107;Amygdala;0.511006163;11.74734012;;;;;
101107;GreyMatter;0.718122814;4;;;;;
101107;Hippocampus;0.569976238;14.14213562;;;;;
101107;Thalamus;0.710675816;16.03121954;;;;;
101107;WhiteMatter;0.83848275;2.236067977;;;;;
101107-PP;Amygdala;0.590925858;10.67707825;;;;;
101107-PP;GreyMatter;0.699704173;3.741657387;;;;;
101107-PP;Hippocampus;0.699332684;10.19803903;;;;;
101107-PP;Thalamus;0.785431188;4.582575695;;;;;
101107-PP;WhiteMatter;0.850254669;2.449489743;;;;;
101309;Amygdala;0.524754964;11.40175425;;;;;
101309;GreyMatter;0.692126776;4.123105626;;;;;
101309;Hippocampus;0.554715907;12.56980509;;;;;
101309;Thalamus;0.737763817;17.11724277;;;;;
101309;WhiteMatter;0.856319122;2;;;;;
