SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.49430989203384884;13.601470508735444
117122;GreyMatter;0.7235161341503938;2.0
117122;Hippocampus;0.5704439489154672;13.92838827718412
117122;Thalamus;0.7765932466068661;14.352700094407323
117122;WhiteMatter;0.8172647148893385;3.0
117122-PP;Amygdala;0.5418088737201365;11.704699910719626
117122-PP;GreyMatter;0.7334271972712301;1.7320508075688772
117122-PP;Hippocampus;0.6344765342960289;10.816653826391969
117122-PP;Thalamus;0.8050108666455031;5.385164807134504
117122-PP;WhiteMatter;0.8304008065170368;2.0
118528;Amygdala;0.4632004215703496;13.92838827718412
118528;GreyMatter;0.7218831820022259;2.23606797749979
118528;Hippocampus;0.5404594839293798;14.317821063276353
118528;Thalamus;0.7277987054881475;15.132745950421556
118528;WhiteMatter;0.8291362462701358;2.8284271247461903
118528-PP;Amygdala;0.5156051266999315;13.076696830622021
118528-PP;GreyMatter;0.7314454755826991;2.0
118528-PP;Hippocampus;0.5974311465628238;12.24744871391589
118528-PP;Thalamus;0.7595537931936032;13.601470508735444
118528-PP;WhiteMatter;0.8415253392277879;2.0
118730;Amygdala;0.5705802968960864;11.661903789690601
118730;GreyMatter;0.7299208560263475;2.0
118730;Hippocampus;0.5027468358272377;11.40175425099138
118730;Thalamus;0.7233158355205599;15.0
118730;WhiteMatter;0.8156090731859702;2.23606797749979
118730-PP;Amygdala;0.6269245953414923;10.246950765959598
118730-PP;GreyMatter;0.7364204299613486;2.0
118730-PP;Hippocampus;0.5563243098004971;7.54983443527075
118730-PP;Thalamus;0.7533219373219373;13.038404810405298
118730-PP;WhiteMatter;0.8316924378775284;2.0
118932;Amygdala;0.5517370540312764;12.727922061357855
118932;GreyMatter;0.7339884844676189;2.0
118932;Hippocampus;0.5204472169484374;13.379088160259652
118932;Thalamus;0.7430864556909386;14.866068747318506
118932;WhiteMatter;0.8348585041793565;2.23606797749979
118932-PP;Amygdala;0.6062538572310224;11.575836902790225
118932-PP;GreyMatter;0.7424272752237456;2.0
118932-PP;Hippocampus;0.5863407326705706;10.44030650891055
118932-PP;Thalamus;0.7776954589035125;12.884098726725126
118932-PP;WhiteMatter;0.8467279572652255;2.0
120111;Amygdala;0.5205596314622079;9.486832980505138
120111;GreyMatter;0.7183706695330314;2.0
120111;Hippocampus;0.5183680892337537;11.916375287812984
120111;Thalamus;0.6959993481626334;15.937377450509228
120111;WhiteMatter;0.8489234963870309;2.23606797749979
120111-PP;Amygdala;0.5702270815811606;8.48528137423857
120111-PP;GreyMatter;0.7278034385924963;2.0
120111-PP;Hippocampus;0.576179714642291;8.774964387392123
120111-PP;Thalamus;0.7308517025473883;14.52583904633395
120111-PP;WhiteMatter;0.8578132622954628;1.4142135623730951
122317;Amygdala;0.5958150851581508;13.341664064126334
122317;GreyMatter;0.7358524421692947;2.0
122317;Hippocampus;0.5465824989116238;13.076696830622021
122317;Thalamus;0.763974109097909;14.035668847618199
122317;WhiteMatter;0.8354993287186523;2.8284271247461903
122317-PP;Amygdala;0.6486142083466072;11.224972160321824
122317-PP;GreyMatter;0.7451219663854051;1.4142135623730951
122317-PP;Hippocampus;0.6176397924730297;10.488088481701515
122317-PP;Thalamus;0.8040891058895331;7.483314773547883
122317-PP;WhiteMatter;0.8487918510002954;2.0
122620;Amygdala;0.6018021297897516;13.152946437965905
122620;GreyMatter;0.7381594168716377;2.23606797749979
122620;Hippocampus;0.5566093473055754;14.212670403551895
122620;Thalamus;0.7622039632672789;12.529964086141668
122620;WhiteMatter;0.8075915834090222;2.8284271247461903
122620-PP;Amygdala;0.6541157620668937;11.704699910719626
122620-PP;GreyMatter;0.7478010566587721;2.0
122620-PP;Hippocampus;0.6186373230907644;9.486832980505138
122620-PP;Thalamus;0.7939954552757821;7.810249675906654
122620-PP;WhiteMatter;0.8241670561592963;2.0
123117;Amygdala;0.5366340224882118;13.076696830622021
123117;GreyMatter;0.7223177684331572;2.449489742783178
123117;Hippocampus;0.5307571927290237;13.0
123117;Thalamus;0.7095726530863944;16.792855623746664
123117;WhiteMatter;0.8465686274509804;3.0
123117-PP;Amygdala;0.5923907558784943;12.409673645990857
123117-PP;GreyMatter;0.733231676354672;2.0
123117-PP;Hippocampus;0.596426037901564;10.954451150103322
123117-PP;Thalamus;0.7483616162492948;15.132745950421556
123117-PP;WhiteMatter;0.8605194327424774;2.0
123925;Amygdala;0.5528832760702015;11.575836902790225
123925;GreyMatter;0.7169784299211778;2.0
123925;Hippocampus;0.5360348191505327;13.416407864998739
123925;Thalamus;0.7749697625564963;14.247806848775006
123925;WhiteMatter;0.8326643852379977;3.0
123925-PP;Amygdala;0.600222829940241;10.723805294763608
123925-PP;GreyMatter;0.7281617812063992;1.7320508075688772
123925-PP;Hippocampus;0.5993061870600519;10.04987562112089
123925-PP;Thalamus;0.8045011385492893;6.557438524302
123925-PP;WhiteMatter;0.844747901026165;2.0
124422;Amygdala;0.6396039603960396;11.575836902790225
124422;GreyMatter;0.713842165155447;2.0
124422;Hippocampus;0.567238912732475;11.874342087037917
124422;Thalamus;0.7959103055652376;14.560219778561036
124422;WhiteMatter;0.7816344682426124;3.0
124422-PP;Amygdala;0.6928040672663277;9.643650760992955
124422-PP;GreyMatter;0.7220557003453767;1.4142135623730951
124422-PP;Hippocampus;0.6326404759313672;8.06225774829855
124422-PP;Thalamus;0.8303822200512884;10.44030650891055
124422-PP;WhiteMatter;0.8006941625163677;2.23606797749979
